src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,avg_pkt_size,std_pkt_size,mean_iat,std_iat,max_iat,min_iat,fin_count,syn_count,rst_count,psh_count,ack_count,urg_count,avg_win,label
617,1017,58442.0,53.0,17.0,48672.0,2.0,74.0,37.0,37.0,16224.0,28095.59615,48666.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,BENIGN
606,1017,49871.0,53.0,17.0,30602.0,2.0,108.0,54.0,54.0,10200.66667,17662.87679,30596.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,BENIGN
608,3009,123.0,123.0,17.0,48069.0,1.0,48.0,48.0,48.0,48069.0,0.0,48069.0,48069.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,BENIGN
613,1017,53320.0,53.0,17.0,148.0,2.0,88.0,44.0,44.0,49.33333333,79.38723659,141.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,BENIGN
612,1008,62428.0,53.0,17.0,23637.0,1.0,50.0,50.0,50.0,23637.0,0.0,23637.0,23637.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,BENIGN
609,1951,34189.0,443.0,6.0,116481197.0,23.0,1493.0,706.0,0.0,2647299.932,4360379.531,10000000.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,29200.0,BENIGN
616,80,52012.0,443.0,6.0,10403759.0,9.0,812.0,460.0,0.0,577986.6111,2301646.456,9798294.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,8192.0,BENIGN
607,1017,61813.0,53.0,17.0,32218.0,4.0,112.0,28.0,28.0,4602.571429,11609.43349,30919.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,BENIGN
610,1017,42186.0,53.0,17.0,216.0,2.0,64.0,32.0,32.0,72.0,122.9756073,214.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,BENIGN
606,1953,59560.0,443.0,6.0,341316.0,10.0,585.0,195.0,0.0,21332.25,30854.18382,84699.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,8192.0,BENIGN
