src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,avg_pkt_size,std_pkt_size,mean_iat,std_iat,syn_count,ack_count,avg_ttl,avg_win
13.107.137.11,172.31.79.196,443,63522,TCP,29.435500383377075,79,57004,721.5696202531645,851.097793102657,0.37737821004329586,0.5678862117188008,0,79,251.0,16383.050632911392
172.31.79.196,13.107.137.11,63522,443,TCP,29.390873193740845,68,56684,833.5882352941177,628.6850820536775,0.4386697491603111,0.5737874372316603,0,68,128.0,516.7647058823529
172.31.79.196,52.104.30.53,63540,443,TCP,29.315183639526367,111,88374,796.1621621621622,687.3059467031144,0.2665016694502397,0.2991852944696184,0,111,128.0,2052.972972972973
52.104.30.53,172.31.79.196,443,63540,TCP,29.09771466255188,123,156813,1274.9024390243903,1340.5586455680025,0.2385058578897695,0.38821961654584797,0,123,251.0,16385.0
172.31.79.196,13.107.137.11,63670,443,TCP,28.732064247131348,71,60263,848.7746478873239,632.6569415044798,0.410458060673305,0.5446513088837452,0,71,128.0,516.2676056338029
13.107.137.11,172.31.79.196,443,63670,TCP,28.635262966156006,81,58559,722.9506172839506,913.2149103748056,0.3579407870769501,0.5409393533852234,0,81,251.0,16383.407407407407
20.192.44.68,172.31.79.196,443,59245,TCP,27.811396598815918,5,324,64.8,14.788509052639487,6.9528491497039795,4.793474702292938,0,5,251.0,501.0
172.31.79.196,20.192.44.68,59245,443,TCP,27.730162143707275,5,360,72.0,16.47725705328408,6.932540535926819,4.782302915668872,0,5,128.0,512.0
142.250.192.234,172.31.79.196,443,63074,TCP,15.2804856300354,13,1274,98.0,51.79607449733361,1.27337380250295,4.318238047317632,0,13,251.0,1049.0
172.31.79.196,142.250.192.234,63074,443,TCP,15.280470848083496,8,850,106.25,77.18391764387931,2.1829244068690707,5.65213667386185,0,8,128.0,509.5
172.31.79.196,172.217.139.167,63746,443,TCP,26.76695942878723,273,41526,152.1098901098901,325.3995321552047,0.09840793907642365,0.7122846355399518,0,273,128.0,2067.868131868132
